ref_id,ref_author,ref_year,ref_title,ref_journal,ref_doi,References full citation,notes
,Bridge,1979,Fuelwood production of mixed hardwoods on mesic sites in Rhode Island.,"Kingston, RI: University of Rhode Island. M.S. thesis.",NRA,"Bridge, J. 1979. Fuelwood production of mixed hardwoods on mesic sites in Rhode Island. Kingston, RI: University of Rhode Island. Open Access Master's Theses. Paper 177",
,Bunce,1968,Biomass and production of trees in a mixed deciduous woodland: I. Girth and height as parameters for the estimation of tree dry weight. ,"J. Ecol. 5, 759–775.",doi.org/10.2307/2258105 ,"Bunce, R.G. 1968. Biomass and production of trees in a mixed deciduous woodland: I. Girth and height as parameters for the estimation of tree dry weight. J. Ecol. 5, 759–775.",
,Busing,2005,"Biomass, production and woody detritus in an old coast redwood (Sequoia sempervirens) forest. ",Plant Ecol 177 (2): 177-188,doi.org/10.1007/s11258-005-2322-8 ,"Busing R.T. & T. Fujimori. 2005. Biomass, production and woody detritus in an old coast redwood (Sequoia sempervirens) forest. Plant Ecol 177 (2): 177-188",
,Chojnacky,2014,Updated generalized biomass equations for North American tree species,"Forestry, 129–151.",doi.org/10.1093/forestry/cpt053,"Chojnacky DC, Heath LS, Jenkins JC (2014) Updated generalized biomass equations for North American tree species. Forestry, 129–151.",
,Chojnacky,1984,Volume and biomass for curlleaf Cercocarpus in Nevada.," Res. Pap. INT-332. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",NRA,,
,Clark,1986,"Weight, Volume, and Physical Properties of Major Hardwood Species in the Southern Appalachian Mountains.","Research Paper SE-253. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station; 63 p.",doi.org/10.2737/se-rp-253 ,"Clark and Schroeder. 1986. Weight, Volume, and Physical Properties of Major Hardwood Species in the Southern Appalachian Mountains. Research Paper SE-253. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",
,Clark,1985,"Weight, volume, and physical properties of major hardwood species in the Gulf and Atlantic Coastal Plains. ","Research Paper SE-250. Asheville, NC: U.S. Department of Agriculture, Forest Service,  Southeastern Forest Experiment Station: 72 p.",doi.org/10.2737/se-rp-250 ,"Clark, A. I.; Phillips, D.; Frederick, D. 1985. Weight, volume, and physical properties of major hardwood species in the Gulf and Atlantic Coastal Plains. Research Paper SE-250. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",
,Clark,1986,"Weight, volume, and physical properties of major hardwood species in the Piedmont.","Research Paper SE-255. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station: 84 p.",doi.org/10.2737/se-rp-255 ,"Clark, A. I.; Phillips, D.; Frederick, D. 1986. Weight, volume, and physical properties of major hardwood species in the Piedmont. Research Paper SE-255. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",
,Coltrin,2010,"Biomass Quantification of Live Trees in a Mixed Evergreen Forest Using Diameter-Based Allometric Equations. Humboldt State University, 52 pp. M.S. thesis.","Humboldt State University, 52 pp. M.S. thesis.",NRA,"Coltrin W.R. 2010. Biomass Quantification of Live Trees in a Mixed Evergreen Forest Using Diameter-Based Allometric Equations. Humboldt State University, 52 pp. M.S. thesis.",
,Fenn,2015,The Carbon Cycle of a Maritime Ancient Temperate Broadleaved Woodland at Seasonal and Annual Scales,"Ecosystems 18, 1-15",doi:10.1007/s10021-014-9793-1,"Fenn, K., Malhi, Y., Morecroft, M. et al. Ecosystems (2015) 18: 1-15. doi:10.1007/s10021-014-9793-1",
,Gholz,1979,Equations for estimating biomass and leaf area of plants in the Pacific Northwest,Res; Pap; 41; Corvallis; OR; Oregon State University; School of Forestry,NRA,Gholz; H; L; Grier; C; C; Campbell; A; G; Brown; A; T; 1979; Equations for estimating biomass and leaf area of plants in the Pacific Northwest; Res; Pap; 41; Corvallis; OR; Oregon State University; School of Forestry,
,Grier,1977,Old-growth Pseudotsuga menziesii communities of a western Oregon watershed; biomass distribution and production budgets,Ecological Monographs; 47; 373-400,doi.org/10.2307/1942174 ,Grier; C; C; Logan; R; S; 1977; Old-growth Pseudotsuga menziesii communities of a western Oregon watershed; biomass distribution and production budgets; Ecological Monographs; 47; 373-400,
no in master table,Halpern ,1996,"Equations for Predicting Above-ground Biomass of Plant Species in Early Successional Forests of the Western Cascade Range, Oregon. ",Northwest Science. Vol. 70. No.1: 306-320. ,NRA,"Halpern C.H. and E. A. Millet. 1996. Equations for Predicting Above-ground Biomass of Plant Species in Early Successional Forests of the Western Cascade Range, Oregon. Northwest Science. Vol. 70. No.1: 306-320. ",
no in master table,Harmon,2015,"Pacific Northwest Plant Biomass Component Equation Library. Long-Term Ecological Research. Forest Science Data Bank, Corvallis, Oregon. [Database]. ",,NRA,"Harmon, M.; Means, J. 2015. Pacific Northwest Plant Biomass Component Equation Library. Long-Term Ecological Research. Forest Science Data Bank, Corvallis, OR. [Database]. Available: http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=TP072 (9 January 2017).",
no in master table,Harrington,1984,Predicting leaf area and biomass of 1- to 6-yearold tanoak (Lithocarpus densiflorus) and Pacific madrone (Arbutus menziesii) sprout clumps in southwestern Oregon,"Canadian Journal of Forest Research;  14, 2:209-213.",doi.org/10.1139/x84-041 ,"Harrington; T; Tappeiner; J; I; Walstad; J; 1984; Predicting leaf area and biomass of 1- to 6-yearold tanoak (Lithocarpus densiflorus) and Pacific madrone (Arbutus menziesii) sprout clumps in southwestern Oregon; Canadian Journal of Forest Research; 14, 2:209-213.",
,Henry,2013,"GlobAllomeTree: international platform for tree allometric equations to support volume, biomass and carbon assessment. ","iForestt  vol. 6, pp. 326-330",doi: 10.3832/ifor0901-006,"Henry M, Bombelli A, Trotta C, Alessandrini A, Birigazzi L, Sola G, Vieilledent G, Santenoise P, Longuetaud F, Valentini R, Picard N, Saint-André L, 2013. GlobAllomeTree: international platform for tree allometric equations to support volume, biomass and carbon assessment. iForest (early view): e1-e5 [online 2013-07-18]. Database available: http://www.globallometree.org/data/allometric-equations (13 January 2017).",
,Jenkins,2004,Comprehensive database of diameter-based biomass regressions for North American tree species.,"Gen. Tech. Rep. NE-319. Newtown Square, PA: U.S. Department of Agriculture, Forest Service, Northeastern Research Station. 45 p.",doi.org/10.2737/NE-GTR-319,"Jenkins JC, Chojnacky DC, Heath LS, Birdsey RA (2004) Comprehensive database of diameter-based biomass regressions for North American tree species. Gen. Tech. Rep. NE-319. Newtown Square, PA: U.S. Department of Agriculture, Forest Service, Northeastern Research Station. 45 p.",
,King,1972,Biomass estimates of black oak tree components.,"Tech. Note B1. Norris, TN: Tennessee Valley Authority, Division of Forestry, Fisheries, and Wildlife Development.",NRA,"King, W. and Schnell, R. 1972. Biomass estimates of black oak tree components. Tech. Note B1. Norris, TN: Tennessee Valley Authority, Division of Forestry, Fisheries, and Wildlife Development.",original reference not available
,Lutz,2014,"Community composition and allometry of Leucothoe davisiae, Cornus sericea, and Chrysolepis sempervirens.","Canadian Journal of Forest Research, 44, 677–683.",doi: 10.1139/cjfr-2013-052,"Lutz JA, Schwindt KA, Furniss TJ et al. (2014) Community composition and allometry of Leucothoe davisiae, Cornus sericea, and Chrysolepis sempervirens. Canadian Journal of Forest Research, 44, 677–683.",
,Martin,1998,Aboveground biomass and nitrogen allocation of ten deciduous southern Appalachian tree species.,Canadian Journal of Forest Research. 28: 1648-1659.,doi.org/10.1139/cjfr-28-11-1648 ,"Martin, J.; Kloeppel, B.; Schaefer, T.; Kimbler, D.; McNulty, S. 1998. Aboveground biomass and nitrogen allocation of ten deciduous southern Appalachian tree species. Canadian Journal of Forest Research. 28: 1648-1659.",
,Means,1994,Software for computing plant biomass - BIOPAK users guide.,Gen; Tech; Rep; PNW-GTR-340; Portland; OR; U;S; Department of Agriculture; Forest Service; Pacific Northwest Research Station.,doi.org/10.2737/pnw-gtr-340 ,Means; J; Hansen; H; Koerper; G; Alaback; P; Klopsch; M; 1994; Software for computing plant biomass - BIOPAK users guide; Gen; Tech; Rep; PNW-GTR-340; Portland; OR; U;S; Department of Agriculture; Forest Service; Pacific Northwest Research Station.,
,Milles,2009,Specific gravity and other properties of wood and bark for 156 tree species found in North America,"Res. Note NRS-38. Newtown Square, PA: U.S. Department of Agriculture, Forest Service, Northern Research Station. 35 p.",doi.org/10.2737/NRS-RN-38,,
,Muukkonen,2007,Generalized allometric volume and biomass equations for some tree species in Europe,"European Journal of Forest Research, Volume 126, Issue 2, pp 157–166",doi: 10.1007/s10342-007-0168-4,"Muukkonen, P. Eur J Forest Res (2007) 126: 157.",
,Naidu,1998,Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine., Canadian Journal of Forest Research. 28: 1116-1124.,doi.org/10.1139/x98-083 ,"Naidu, S.; DeLucia, E.; Thomas, R. 1998. Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research. 28: 1116-1124.",
,Pastor,1984,Biomass prediction using generalized allometric regressions for some northeast tree species. ,Forest Ecology and Management. 7: 265-274.,doi.org/10.1016/0378-1127(84)90003-3 ,"Pastor, J.; Aber, J. D.; Melillo, J. M. 1984. Biomass prediction using generalized allometric regressions for some northeast tree species. Forest Ecology and Management. 7: 265-274.",
,Phillips,1981,Predicted total-tree biomass of understory hardwoods. ,"Res. Pap. SE-223. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",NRA,"Phillips, D. 1981. Predicted total-tree biomass of understory hardwoods. Res. Pap. SE-223. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",
,Russell,2005,Estimating biomass in coastal Baccharis pilularis dominated plant communities. ,"Fire Ecology, v. 1, no. 1, p. 20-27",doi.org/10.4996/fireecology.0101020 ,"Russell, W., and R. Tompkins. 2005. Estimating biomass in coastal Baccharis pilularis dominated plant communities. Fire Ecology, v. 1, no. 1, p. 20-27",
,Schukrt,1988,Equations for predicting biomass of six introduced subtropical tree species; Island of Hawaii.,"Res. Note PSW-RN-401. Berkeley, CA: U.S. Department of Agriculture, Forest Service, Pacific Southwest Forest and Range Experiment Station. 6 p",doi.org/10.2737/PSW-RN-401,Schukrt; T; Strand; R; Cole; T; McDuffie; K; 1988; Equations for predicting biomass of six introduced subtropical tree species; Island of Hawaii; Res; Note PSW-401; Albany; CA; U;S; Department of Agriculture; Forest Service; Pacific Southwest Forest,
,Siccama,1994,Corrections to allometric equations and plant tissue chemistry for Hubbard Brook Experimental Forest. ,Ecology. 75: 246-248.,doi.org/10.2307/1939398 ,"Siccama, T. G.; Hamburg, S. P.; Arthur, M. A.; Yanai, R. D.; Bormann, F. H.; Likens, G. E. 1994. Corrections to allometric equations and plant tissue chemistry for Hubbard Brook Experimental Forest. Ecology. 75: 246-248.",
,Smith,1983,"Allometric Biomass Equations for 98 Species of Herbs, Shrubs, and Small Trees. ","Res. Note NC-299. St. Paul, MN: US. Dept. of Agriculture, Forest Service, North Central Forest Experiment Station.",NRA,"Smith WB, Brand GJ (1983) Allometric Biomass Equations for 98 Species of Herbs, Shrubs, and Small Trees. Research Note NC-299. St. Paul, MN: US. Dept. of Agriculture, Forest Service, North Central Forest Experiment Station.",
,Snell,1983,Predicting Crown Weight and Bole Volume of Five Western Hardwoods. ,"US Department of Agriculture, Forest Service, Pacific Northwest Forest and Range Experiment Station, General Technical Report PNW-GTR-151, 37 pp. ",doi.org/10.2737/pnw-gtr-151 ,"Snell J.A.K., Little S.N. 1983. Predicting Crown Weight and Bole Volume of Five Western Hardwoods. US Department of Agriculture, Forest Service, Pacific Northwest Forest and Range Experiment Station, General Technical Report PNW-GTR-151, 37 pp. ",
,Ter-Mikaelian,1997,Biomass equations for sixty-five North American tree species. ,"Forest Ecology and Management, 1–24.",doi.org/10.1016/s0378-1127(97)00019-4 ,"Ter-Mikaelian M, Korzukhin M (1997) Biomass equations for sixty-five North American tree species. Forest Ecology and Management, 1–24.",
,Westman,1998,"Aboveground biomass, surface area, and production relations of red fir (Abies magnifica) and white fir (A. concolor).", Canadian Journal of Forest Research 17: 311–319.,doi.org/10.1139/x87-052,,
,Wiant,1977,Tables and procedures for estimating weights of some Appalachian hardwoods.,"Bull. 659T. Morgantown, WV: West Virginia University Agricultural and Forestry Experiment Station.",NRA,"Wiant, H. V., Jr.; Sheetz, C.; Colaninno, A.; DeMoss, J.; Castaneda, F. 1977. Tables and procedures for estimating weights of some Appalachian hardwoods. Bull. 659T. Morgantown, WV: West Virginia University Agricultural and Forestry Experiment Station.",original reference not available
,Williams,1984,"Biomass prediction equations for seedlings, sprouts, and saplings of ten central hardwood species.",Forest Science. 30: 523-527.,NRA,"Williams, R. A.; McClenahen, J. R. 1984. Biomass prediction equations for seedlings, sprouts, and saplings of ten central hardwood species. Forest Science. 30: 523-527.",original reference not available
